name,latitude,longitude
Azcapotzalco,19.47153829,-99.19461582
Azcapotzalco,19.47162471,-99.19492673
Azcapotzalco,19.47164317,-99.19499312
Azcapotzalco,19.47168605,-99.1951474
Azcapotzalco,19.4717114,-99.19523225
Azcapotzalco,19.47172754,-99.19528624
Azcapotzalco,19.47182872,-99.19562489
Azcapotzalco,19.47197254,-99.19613249
Azcapotzalco,19.47212626,-99.19665838
Azcapotzalco,19.47225182,-99.19708322
Azcapotzalco,19.47236423,-99.19746031
Azcapotzalco,19.47244972,-99.19774473
Azcapotzalco,19.47247484,-99.19782831
Azcapotzalco,19.47251172,-99.197951
Azcapotzalco,19.47260682,-99.19825544
Azcapotzalco,19.47261797,-99.19829113
Azcapotzalco,19.47264225,-99.19836886
Azcapotzalco,19.47287589,-99.19908872
Azcapotzalco,19.4730828,-99.19976485
Azcapotzalco,19.47318238,-99.20009386
Azcapotzalco,19.47324126,-99.20030414
Azcapotzalco,19.47334528,-99.20067568
Azcapotzalco,19.47335236,-99.20084346
Azcapotzalco,19.4733596,-99.20101502
Azcapotzalco,19.47323662,-99.20144703
Azcapotzalco,19.47301465,-99.20232689
Azcapotzalco,19.47269165,-99.20344417
Azcapotzalco,19.47240272,-99.20433966
Azcapotzalco,19.47219226,-99.2049672
Azcapotzalco,19.47202435,-99.20528542
Azcapotzalco,19.47135651,-99.20649634
Azcapotzalco,19.47121508,-99.20682497
Azcapotzalco,19.47147072,-99.20777288
Azcapotzalco,19.47152318,-99.20796742
Azcapotzalco,19.47162617,-99.20834928
Azcapotzalco,19.47163154,-99.20836917
Azcapotzalco,19.47178971,-99.20895565
Azcapotzalco,19.47186534,-99.20923609
Azcapotzalco,19.47187531,-99.20927305
Azcapotzalco,19.47197285,-99.20963477
Azcapotzalco,19.47207032,-99.2099962
Azcapotzalco,19.47208028,-99.21003312
Azcapotzalco,19.47216031,-99.21032988
Azcapotzalco,19.47228277,-99.21078398
Azcapotzalco,19.47228784,-99.21080277
Azcapotzalco,19.47229115,-99.21081505
Azcapotzalco,19.47245231,-99.21141268
Azcapotzalco,19.4726228,-99.21204485
Azcapotzalco,19.47278015,-99.21262838
Azcapotzalco,19.47295935,-99.21329295
Azcapotzalco,19.47303174,-99.21356134
Azcapotzalco,19.47311748,-99.21387929
Azcapotzalco,19.4732082,-99.21421577
Azcapotzalco,19.47321085,-99.21422562
Azcapotzalco,19.47328069,-99.21448462
Azcapotzalco,19.47338285,-99.21486343
Azcapotzalco,19.47338674,-99.21487783
Azcapotzalco,19.47346502,-99.21516812
Azcapotzalco,19.47356529,-99.21554
Azcapotzalco,19.47365243,-99.21586317
Azcapotzalco,19.47373603,-99.21617325
Azcapotzalco,19.47392588,-99.21687729
Azcapotzalco,19.47409497,-99.21750443
Azcapotzalco,19.47427446,-99.21817015
Azcapotzalco,19.47445703,-99.21884723
Azcapotzalco,19.47463586,-99.21951051
Azcapotzalco,19.47481046,-99.22015809
Azcapotzalco,19.47491837,-99.22055831
Azcapotzalco,19.47506848,-99.22111506
Azcapotzalco,19.47590811,-99.22091998
Azcapotzalco,19.47681152,-99.22071009
Azcapotzalco,19.47771783,-99.22049951
Azcapotzalco,19.47815523,-99.22035857
Azcapotzalco,19.47822289,-99.22033676
Azcapotzalco,19.47911988,-99.22004771
Azcapotzalco,19.47997485,-99.2197722
Azcapotzalco,19.48031448,-99.21966275
Azcapotzalco,19.48090254,-99.21945594
Azcapotzalco,19.48180785,-99.21913755
Azcapotzalco,19.48268589,-99.21882875
Azcapotzalco,19.48331526,-99.2186074
Azcapotzalco,19.48356568,-99.21851934
Azcapotzalco,19.48408109,-99.21833806
Azcapotzalco,19.48459735,-99.21815649
Azcapotzalco,19.484912,-99.21804583
Azcapotzalco,19.48645146,-99.21749922
Azcapotzalco,19.48683578,-99.21736275
Azcapotzalco,19.48697817,-99.21731218
Azcapotzalco,19.4873974,-99.21716332
Azcapotzalco,19.48741212,-99.21715811
Azcapotzalco,19.4882576,-99.21685789
Azcapotzalco,19.48915335,-99.21653982
Azcapotzalco,19.48940677,-99.21644982
Azcapotzalco,19.48983808,-99.21629667
Azcapotzalco,19.48988757,-99.21627909
Azcapotzalco,19.49016648,-99.21618006
Azcapotzalco,19.49069151,-99.2160066
Azcapotzalco,19.49156852,-99.21571683
Azcapotzalco,19.49160608,-99.21570442
Azcapotzalco,19.49162477,-99.21569825
Azcapotzalco,19.49238548,-99.21544692
Azcapotzalco,19.49256775,-99.21538669
Azcapotzalco,19.49312411,-99.21520288
Azcapotzalco,19.49379252,-99.21498202
Azcapotzalco,19.49427177,-99.21482368
Azcapotzalco,19.49492774,-99.21460694
Azcapotzalco,19.49563809,-99.21437223
Azcapotzalco,19.49641326,-99.21411611
Azcapotzalco,19.49709471,-99.21389094
Azcapotzalco,19.49725211,-99.21383894
Azcapotzalco,19.49771972,-99.21368442
Azcapotzalco,19.49827543,-99.2135008
Azcapotzalco,19.49840875,-99.21346306
Azcapotzalco,19.50052214,-99.21286477
Azcapotzalco,19.50176192,-99.2124984
Azcapotzalco,19.50237091,-99.21232002
Azcapotzalco,19.50266123,-99.21223498
Azcapotzalco,19.50351072,-99.21199249
Azcapotzalco,19.50363632,-99.2119664
Azcapotzalco,19.50499651,-99.2116838
Azcapotzalco,19.50672288,-99.21144488
Azcapotzalco,19.50721237,-99.21137712
Azcapotzalco,19.50781222,-99.21121905
Azcapotzalco,19.50803025,-99.21116158
Azcapotzalco,19.50844451,-99.21105242
Azcapotzalco,19.50908477,-99.2107796
Azcapotzalco,19.50934735,-99.21069816
Azcapotzalco,19.50934788,-99.210698
Azcapotzalco,19.50934841,-99.21069784
Azcapotzalco,19.5093834,-99.21068711
Azcapotzalco,19.50955672,-99.21063343
Azcapotzalco,19.51007157,-99.21047505
Azcapotzalco,19.51053994,-99.21037165
Azcapotzalco,19.51067045,-99.21032311
Azcapotzalco,19.51089226,-99.21024062
Azcapotzalco,19.51113912,-99.21016417
Azcapotzalco,19.51124542,-99.21008625
Azcapotzalco,19.51127275,-99.21006622
Azcapotzalco,19.51127584,-99.21006391
Azcapotzalco,19.51128791,-99.21005486
Azcapotzalco,19.5113318,-99.21002196
Azcapotzalco,19.51137832,-99.20998709
